timestamp,open,high,low,close,volume
2025-06-30 09:30:00,445.2584,445.2782,443.3231,443.7102,576147
2025-06-30 09:31:00,443.6109,444.4545,443.1346,443.8442,117358
2025-06-30 09:32:00,443.8987,445.2087,443.4125,443.8987,74557
2025-06-30 09:33:00,443.9781,444.2461,443.4324,443.5117,59092
2025-06-30 09:34:00,443.4919,443.8888,443.343,443.5613,65987
2025-06-30 09:35:00,443.5117,444.7125,443.343,444.4049,98027
2025-06-30 09:36:00,444.4148,445.3179,444.2659,445.2038,78059
2025-06-30 09:37:00,445.2087,445.4964,444.9209,445.4519,66667
2025-06-30 09:38:00,445.4965,446.0473,445.4271,445.458,76413
2025-06-30 09:39:00,445.4469,445.4469,444.7621,445.0698,39515
2025-06-30 09:40:00,445.0896,445.5462,444.8515,445.2981,41209
2025-06-30 09:41:00,445.3648,445.7446,444.8614,445.4916,62586
2025-06-30 09:42:00,445.5106,445.7695,445.2613,445.4866,31135
2025-06-30 09:43:00,445.4668,445.9332,445.4668,445.7943,36556
2025-06-30 09:44:00,445.7149,445.8439,445.437,445.5263,38917
2025-06-30 09:45:00,445.566,445.7843,444.7324,444.7621,93894
2025-06-30 09:46:00,444.8217,444.9805,444.0593,444.3156,72928
2025-06-30 09:47:00,444.3255,444.395,443.7401,443.7797,78385
2025-06-30 09:48:00,443.8194,444.0544,443.5117,443.6109,73492
2025-06-30 09:49:00,443.5315,443.9583,443.4125,443.8789,54846
2025-06-30 09:50:00,443.8442,443.859,443.3678,443.5514,56027
2025-06-30 09:51:00,443.5315,443.8888,443.3976,443.5514,35342
2025-06-30 09:52:00,443.4819,443.5812,442.7178,442.829,98260
2025-06-30 09:53:00,442.8468,443.1147,442.2811,442.5491,93043
2025-06-30 09:54:00,442.6086,443.601,442.5888,443.2338,170302
2025-06-30 09:55:00,443.2934,443.5613,443.0205,443.472,101328
2025-06-30 09:56:00,443.472,443.7598,443.3182,443.5315,61031
2025-06-30 09:57:00,443.601,444.1865,443.601,444.1369,28375
2025-06-30 09:58:00,444.1072,444.5835,444.1072,444.4942,36563
2025-06-30 09:59:00,444.4942,444.6629,444.1965,444.4743,35929
2025-06-30 10:00:00,444.7026,445.3179,444.5835,444.8812,104402
