timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,162.83,163.29,160.46,161.5,153.788382408796,3825044,0.0,1.0
2025-01-03,161.0,161.73,160.08,160.1,152.455232344572,4086065,0.0,1.0
2025-01-04,160.22,161.81,160.17,160.86,153.178942379437,3212004,0.0,1.0
2025-01-05,159.91,160.55,158.67,159.16,151.560117301449,3698961,0.0,1.0
2025-01-08,158.69,161.216,157.885,161.14,153.445572392281,3321698,0.0,1.0
2025-01-09,160.0,160.4837,159.51,160.08,152.436187343654,2617186,0.0,1.0
2025-01-10,160.28,161.34,159.74,161.23,153.53127489641,2967852,0.0,1.0
2025-01-11,161.02,162.23,160.29,162.16,154.416867439074,3778395,0.0,1.0
2025-01-12,162.97,165.98,162.355,165.8,157.883057606059,4958261,0.0,1.0
2025-01-16,165.8,167.25,165.34,166.96,158.987667659273,4869635,0.0,1.0
2025-01-17,166.79,167.82,165.495,166.08,158.149687618903,4288604,0.0,1.0
2025-01-18,166.49,166.99,165.04,166.84,158.873397653768,3776990,0.0,1.0
2025-01-19,170.59,171.5791,169.18,171.48,163.291837866628,6929079,0.0,1.0
2025-01-22,172.82,174.45,172.4,172.83,164.577375428559,4925964,0.0,1.0
2025-01-23,172.9,174.02,172.48,173.94,165.63437297948,3983461,0.0,1.0
2025-01-24,174.76,174.86,172.9,173.93,165.624850479021,7831157,0.0,1.0
2025-01-25,184.96,196.9,184.83,190.43,181.336976235957,29596239,0.0,1.0
2025-01-26,191.31,192.3896,186.16,187.42,178.470703597874,9895941,0.0,1.0
2025-01-29,187.46,189.46,186.05,187.14,178.204073585029,6107908,0.0,1.0
2025-01-30,187.71,188.65,186.77,187.87,178.899216118518,4575058,0.0,1.0
2025-01-31,187.05,187.65,183.14,183.66,174.890243425384,8876055,0.0,1.0
2025-02-01,183.63,187.51,182.71,186.9,177.975533574019,4669444,0.0,1.0
2025-02-02,187.1,187.39,185.615,185.79,176.918536023098,4055411,0.0,1.0
2025-02-05,185.51,185.78,183.255,183.42,174.661703414374,4379602,0.0,1.0
2025-02-06,183.55,184.68,183.04,183.41,174.652180913916,3338196,0.0,1.0
2025-02-07,183.34,184.02,182.625,183.74,174.966423429054,4841188,0.0,1.0
2025-02-08,182.63,184.55,181.49,184.36,177.137553533649,5161185,1.66,1.0
2025-02-09,184.44,187.18,183.85,186.34,179.039985492841,5064641,0.0,1.0
